qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,q1sec,q2sec,q1_rank
147,24,18,11,16,19,1:23.565,\N,\N,83.565,NA,19
149,25,8,6,1,1,1:15.133,1:15.161,1:16.449,75.133,75.161,2
150,25,13,6,2,2,1:15.024,1:15.041,1:16.490,75.024,75.041,1
151,25,1,1,22,3,1:15.634,1:15.293,1:16.693,75.634,75.293,4
152,25,4,4,5,4,1:15.754,1:15.483,1:16.840,75.754,75.483,7
153,25,15,7,11,5,1:15.521,1:15.362,1:16.920,75.521,75.362,3
154,25,5,1,23,6,1:15.965,1:15.639,1:16.944,75.965,75.639,11
155,25,9,2,4,7,1:15.687,1:15.723,1:17.037,75.687,75.723,5
156,25,17,9,10,8,1:16.020,1:15.488,1:17.233,76.02,75.488,13
157,25,14,9,9,9,1:15.802,1:15.654,1:17.426,75.80199999999999,75.654,8
158,25,10,7,12,10,1:15.727,1:15.558,1:17.596,75.727,75.55799999999999,6
159,25,12,4,6,11,1:15.848,1:15.770,\N,75.848,75.77,9
160,25,2,2,3,12,1:16.006,1:15.786,\N,76.006,75.786,12
161,25,20,5,15,13,1:15.918,1:15.816,\N,75.918,75.816,10
162,25,7,5,14,14,1:16.072,1:16.045,\N,76.072,76.045,14
163,25,3,3,7,15,1:16.085,1:16.235,\N,76.08500000000001,76.235,15
164,25,6,3,8,16,1:16.243,\N,\N,76.243,NA,16
165,25,18,11,16,17,1:16.306,\N,\N,76.306,NA,17
166,25,22,11,17,18,1:16.330,\N,\N,76.33,NA,18
167,25,21,10,21,19,1:16.971,\N,\N,76.971,NA,19
168,25,16,10,20,20,1:17.053,\N,\N,77.053,NA,20
169,26,5,1,23,1,1:19.957,1:19.597,1:21.049,79.957,79.59700000000001,1
170,26,17,9,10,2,1:20.982,1:19.710,1:21.554,80.982,79.71000000000001,10
171,26,8,6,1,3,1:20.370,1:19.971,1:21.706,80.37,79.971,4
172,26,1,1,22,4,1:20.288,1:19.537,1:21.835,80.288,79.537,2
173,26,2,2,3,5,1:21.022,1:19.802,1:21.873,81.02199999999999,79.80199999999999,12
174,26,4,4,5,6,1:20.998,1:19.992,1:22.029,80.998,79.992,11
175,26,12,4,6,7,1:20.818,1:20.115,1:22.491,80.818,80.115,8
176,26,20,5,15,8,1:20.318,1:20.109,1:23.251,80.318,80.10900000000001,3
177,26,13,6,2,9,1:20.676,1:20.086,1:23.305,80.676,80.086,7
178,26,9,2,4,10,1:20.444,1:19.788,\N,80.444,79.788,5
179,26,14,9,9,11,1:21.224,1:20.174,\N,81.224,80.174,14
180,26,10,7,12,12,1:20.893,1:20.274,\N,80.893,80.274,9
181,26,7,5,14,13,1:20.584,1:20.531,\N,80.584,80.531,6
182,26,15,7,11,14,1:21.145,1:20.601,\N,81.145,80.601,13
183,26,6,3,8,15,1:21.407,1:21.112,\N,81.407,81.112,15
184,26,22,11,17,16,1:21.512,\N,\N,81.512,NA,16
185,26,18,11,16,17,1:21.631,\N,\N,81.631,NA,17
186,26,3,3,7,18,1:21.668,\N,\N,81.668,NA,18
187,26,16,10,20,19,1:21.786,\N,\N,81.786,NA,19
188,26,21,10,21,20,1:21.885,\N,\N,81.885,NA,20
189,27,1,1,22,1,1:15.218,1:14.603,1:15.666,75.218,74.603,3
190,27,13,6,2,2,1:14.921,1:14.747,1:15.859,74.92099999999999,74.747,1
191,27,5,1,23,3,1:15.476,1:14.855,1:16.143,75.476,74.855,4
192,27,15,7,11,4,1:15.560,1:15.122,1:16.191,75.56,75.122,6
193,27,4,4,5,5,1:15.917,1:14.943,1:16.385,75.917,74.943,11
194,27,8,6,1,6,1:15.201,1:14.949,1:16.389,75.201,74.949,2
195,27,9,2,4,7,1:15.985,1:15.109,1:16.521,75.985,75.109,14
196,27,17,9,10,8,1:15.900,1:15.481,1:17.014,75.9,75.481,10
197,27,20,5,15,9,1:15.532,1:15.420,1:17.244,75.532,75.42,5
198,27,14,9,9,10,1:15.975,1:15.338,1:17.503,75.975,75.338,13
199,27,10,7,12,11,1:15.560,1:15.508,\N,75.56,75.508,6
200,27,2,2,3,12,1:15.596,1:15.581,\N,75.596,75.581,8
201,27,3,3,7,13,1:15.863,1:15.633,\N,75.863,75.633,9
202,27,18,11,16,14,1:15.993,1:15.701,\N,75.993,75.701,15
