raceId,q1sec,q3sec,q2sec,q1_q3_diff,q2_q3_diff
877,101.497,100.63,100.90100000000001,0.8670000000000044,0.271000000000015
878,96.55799999999999,95.657,95.79599999999999,0.9009999999999962,0.1389999999999958
882,95.793,94.48400000000001,95.078,1.3089999999999975,0.5939999999999941
883,92.878,92.33,92.74600000000001,0.5480000000000018,0.41600000000001103
884,81.72800000000001,80.718,81.001,1.0100000000000051,0.28300000000000125
888,90.547,89.398,89.825,1.149000000000001,0.4270000000000067
890,80.35,79.388,79.77799999999999,0.9619999999999891,0.38999999999998636
892,84.319,83.755,83.977,0.5640000000000072,0.2220000000000084
893,104.196,102.84100000000001,102.905,1.3549999999999898,0.06399999999999295
894,98.34100000000001,97.202,97.569,1.13900000000001,0.36700000000000443
895,91.824,90.91499999999999,91.28999999999999,0.909000000000006,0.375
896,85.574,84.119,84.568,1.4549999999999983,0.44899999999999807
897,100.693,99.957,100.473,0.7360000000000042,0.5160000000000053
898,97.821,96.338,97.065,1.483000000000004,0.7270000000000039
899,85.342,86.479,86.161,-1.1370000000000005,-0.31799999999999784
902,94.874,93.185,93.708,1.688999999999993,0.5229999999999961
903,115.51599999999999,113.86,114.029,1.6559999999999917,0.16899999999999693
